,net_Dienst Gezondheid & Jeugd ZHZ,gross_Dienst Gezondheid & Jeugd ZHZ,net_GGD Amsterdam,gross_GGD Amsterdam,net_GGD Brabant Zuid-Oost ,gross_GGD Brabant Zuid-Oost ,net_GGD Drenthe,gross_GGD Drenthe,net_GGD Flevoland,gross_GGD Flevoland,net_GGD Fryslân,gross_GGD Fryslân,net_GGD Gelderland-Zuid,gross_GGD Gelderland-Zuid,net_GGD Gooi en Vechtstreek,gross_GGD Gooi en Vechtstreek,net_GGD Groningen,gross_GGD Groningen,net_GGD Haaglanden,gross_GGD Haaglanden,net_GGD Hart voor Brabant,gross_GGD Hart voor Brabant,net_GGD Hollands Midden,gross_GGD Hollands Midden,net_GGD Hollands Noorden,gross_GGD Hollands Noorden,net_GGD IJsselland,gross_GGD IJsselland,net_GGD Kennemerland,gross_GGD Kennemerland,net_GGD Limburg Noord,gross_GGD Limburg Noord,net_GGD Noord en Oost Gelderland,gross_GGD Noord en Oost Gelderland,net_GGD Regio Twente,gross_GGD Regio Twente,net_GGD regio Utrecht,gross_GGD regio Utrecht,net_GGD Rotterdam Rijnmond,gross_GGD Rotterdam Rijnmond,net_GGD West Brabant,gross_GGD West Brabant,net_GGD Zaanstreek-Waterland,gross_GGD Zaanstreek-Waterland,net_GGD Zeeland,gross_GGD Zeeland,net_GGD Zuid Limburg,gross_GGD Zuid Limburg,net_GGD Gelderland-Midden,gross_GGD Gelderland-Midden,net_nl,gross_nl,nowcast_nl,nowcast_nl_0_2
2020-07-18,5.0,9.0,3.0,16.0,2.0,3.0,3.0,4.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,1.0,0.0,0.0,20.0,21.0,2.0,3.0,10.0,10.0,9.0,9.0,2.0,2.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,12.0,24.0,12.0,12.0,4.0,6.0,14.0,14.0,5.0,5.0,1.0,2.0,127.0,152.0,,
2020-07-19,0.0,2.0,32.0,32.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,9.0,2.0,3.0,16.0,16.0,2.0,2.0,2.0,2.0,7.0,7.0,0.0,0.0,2.0,12.0,2.0,2.0,14.0,17.0,30.0,31.0,15.0,15.0,0.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,144.0,155.0,,
2020-07-20,4.0,4.0,29.0,32.0,8.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0,12.0,12.0,2.0,2.0,10.0,10.0,2.0,2.0,8.0,12.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,25.0,27.0,48.0,50.0,13.0,13.0,3.0,4.0,6.0,6.0,4.0,4.0,3.0,4.0,185.0,186.0,,
2020-07-21,6.0,7.0,25.0,31.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,2.0,1.0,1.0,23.0,25.0,0.0,9.0,13.0,13.0,1.0,1.0,1.0,2.0,7.0,11.0,2.0,2.0,2.0,2.0,1.0,1.0,12.0,12.0,39.0,47.0,9.0,9.0,2.0,2.0,3.0,3.0,1.0,1.0,6.0,6.0,163.0,177.0,,
2020-07-22,7.0,10.0,14.0,18.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,18.0,22.0,11.0,11.0,13.0,13.0,7.0,7.0,3.0,4.0,8.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,14.0,17.0,38.0,45.0,14.0,14.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,4.0,168.0,176.0,,
2020-07-23,4.0,4.0,17.0,18.0,6.0,8.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,23.0,25.0,-3.0,13.0,13.0,13.0,6.0,6.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,50.0,59.0,8.0,8.0,0.0,0.0,6.0,6.0,0.0,0.0,3.0,5.0,163.0,179.0,,
2020-07-24,7.0,12.0,20.0,25.0,4.0,4.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,16.0,23.0,0.0,6.0,21.0,21.0,9.0,9.0,1.0,2.0,12.0,12.0,2.0,2.0,6.0,7.0,0.0,0.0,4.0,8.0,58.0,81.0,18.0,18.0,-3.0,0.0,6.0,6.0,2.0,2.0,-3.0,2.0,191.0,215.0,,
2020-07-25,5.0,10.0,23.0,25.0,1.0,1.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,9.0,6.0,8.0,9.0,9.0,4.0,4.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,19.0,23.0,28.0,33.0,7.0,7.0,1.0,1.0,7.0,7.0,2.0,4.0,5.0,6.0,137.0,144.0,,
2020-07-26,4.0,7.0,31.0,39.0,3.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,17.0,25.0,4.0,6.0,14.0,15.0,8.0,8.0,0.0,0.0,3.0,8.0,1.0,1.0,4.0,5.0,1.0,1.0,16.0,18.0,64.0,70.0,20.0,20.0,3.0,3.0,5.0,5.0,1.0,1.0,6.0,9.0,214.0,234.0,,
2020-07-27,7.0,14.0,47.0,47.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,26.0,27.0,2.0,5.0,10.0,10.0,1.0,1.0,2.0,2.0,6.0,6.0,2.0,2.0,6.0,6.0,2.0,2.0,7.0,14.0,49.0,62.0,14.0,14.0,3.0,3.0,8.0,8.0,2.0,2.0,0.0,1.0,205.0,210.0,,
2020-07-28,7.0,14.0,30.0,35.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,2.0,22.0,32.0,10.0,11.0,17.0,17.0,10.0,10.0,0.0,2.0,5.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,13.0,65.0,65.0,21.0,21.0,4.0,4.0,8.0,8.0,2.0,2.0,2.0,5.0,223.0,223.0,,
2020-07-29,10.0,13.0,33.0,35.0,3.0,3.0,0.0,0.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,13.0,19.0,10.0,12.0,18.0,18.0,4.0,4.0,2.0,2.0,4.0,4.0,0.0,0.0,2.0,2.0,4.0,4.0,24.0,27.0,70.0,81.0,26.0,26.0,2.0,2.0,8.0,8.0,3.0,3.0,2.0,2.0,247.0,248.0,,
2020-07-30,10.0,11.0,71.0,71.0,15.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,5.0,2.0,2.0,21.0,28.0,13.0,13.0,24.0,24.0,5.0,5.0,0.0,0.0,9.0,9.0,2.0,2.0,4.0,5.0,0.0,0.0,24.0,25.0,95.0,117.0,17.0,17.0,4.0,4.0,8.0,8.0,2.0,2.0,6.0,7.0,342.0,343.0,,
2020-07-31,10.0,14.0,53.0,69.0,9.0,13.0,1.0,1.0,9.0,11.0,2.0,2.0,5.0,6.0,3.0,4.0,3.0,3.0,55.0,62.0,9.0,9.0,12.0,12.0,1.0,1.0,1.0,2.0,11.0,11.0,0.0,0.0,8.0,8.0,2.0,2.0,35.0,37.0,78.0,104.0,18.0,18.0,5.0,7.0,4.0,4.0,2.0,2.0,2.0,3.0,338.0,356.0,,
2020-08-01,4.0,12.0,68.0,81.0,10.0,13.0,1.0,1.0,8.0,10.0,1.0,1.0,8.0,8.0,5.0,5.0,4.0,4.0,53.0,55.0,14.0,15.0,22.0,22.0,5.0,5.0,2.0,2.0,12.0,12.0,4.0,4.0,3.0,3.0,4.0,4.0,24.0,28.0,128.0,160.0,26.0,26.0,5.0,6.0,5.0,5.0,3.0,3.0,12.0,12.0,431.0,439.0,444.8576615,453.84973219999995
2020-08-02,12.0,13.0,31.0,53.0,18.0,19.0,1.0,1.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,6.0,47.0,53.0,10.0,10.0,16.0,16.0,8.0,8.0,1.0,1.0,8.0,8.0,1.0,1.0,5.0,5.0,2.0,2.0,24.0,29.0,109.0,134.0,33.0,36.0,7.0,9.0,5.0,5.0,2.0,2.0,5.0,6.0,366.0,376.0,482.1066824,518.8765754
2020-08-03,8.0,12.0,51.0,51.0,10.0,10.0,1.0,2.0,8.0,8.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,50.0,51.0,7.0,10.0,15.0,15.0,5.0,5.0,5.0,7.0,8.0,8.0,2.0,2.0,1.0,1.0,2.0,2.0,15.0,18.0,125.0,168.0,36.0,36.0,4.0,4.0,8.0,8.0,2.0,2.0,0.0,0.0,372.0,382.0,488.13828370000004,508.6418428
2020-08-04,7.0,19.0,149.0,149.0,12.0,15.0,0.0,0.0,6.0,6.0,0.0,0.0,2.0,2.0,10.0,11.0,6.0,6.0,57.0,63.0,15.0,17.0,13.0,15.0,5.0,7.0,2.0,2.0,6.0,6.0,4.0,4.0,1.0,1.0,1.0,1.0,28.0,29.0,115.0,138.0,25.0,25.0,6.0,6.0,10.0,10.0,0.0,0.0,5.0,5.0,485.0,491.0,586.2544642000001,642.3624357000001
2020-08-05,12.0,21.0,70.0,71.0,6.0,7.0,5.0,5.0,3.0,3.0,0.0,0.0,4.0,4.0,6.0,7.0,5.0,5.0,43.0,46.0,22.0,22.0,20.0,20.0,7.0,7.0,3.0,3.0,7.0,7.0,7.0,7.0,4.0,4.0,2.0,2.0,25.0,28.0,143.0,175.0,21.0,24.0,3.0,3.0,9.0,9.0,0.0,0.0,-1.0,5.0,426.0,432.0,640.775854,675.3501303999999
2020-08-06,12.0,16.0,157.0,158.0,7.0,8.0,3.0,3.0,4.0,4.0,0.0,0.0,6.0,8.0,11.0,12.0,6.0,6.0,82.0,90.0,21.0,23.0,25.0,25.0,6.0,6.0,7.0,14.0,13.0,13.0,6.0,7.0,8.0,9.0,5.0,5.0,51.0,54.0,123.0,153.0,32.0,32.0,11.0,12.0,5.0,6.0,-4.0,2.0,4.0,5.0,601.0,609.0,722.3578338,720.4358251
2020-08-07,34.0,46.0,81.0,91.0,15.0,16.0,1.0,1.0,5.0,5.0,1.0,1.0,8.0,8.0,8.0,8.0,7.0,7.0,58.0,58.0,18.0,19.0,17.0,17.0,11.0,11.0,8.0,8.0,13.0,13.0,9.0,9.0,10.0,10.0,4.0,4.0,49.0,54.0,111.0,136.0,37.0,37.0,5.0,8.0,4.0,4.0,0.0,0.0,5.0,5.0,519.0,521.0,759.0970545,790.665975
2020-08-08,10.0,15.0,104.0,110.0,13.0,16.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,7.0,8.0,81.0,84.0,13.0,15.0,21.0,21.0,8.0,8.0,5.0,16.0,13.0,13.0,5.0,5.0,8.0,8.0,5.0,5.0,36.0,37.0,73.0,84.0,45.0,47.0,5.0,7.0,7.0,8.0,2.0,2.0,6.0,8.0,486.0,488.0,752.6263313999997,781.3111142000001
2020-08-09,9.0,39.0,88.0,89.0,5.0,6.0,5.0,5.0,5.0,5.0,2.0,2.0,20.0,20.0,4.0,4.0,7.0,7.0,43.0,51.0,29.0,30.0,35.0,35.0,1.0,1.0,3.0,3.0,12.0,13.0,8.0,8.0,2.0,3.0,2.0,2.0,34.0,37.0,156.0,159.0,52.0,52.0,23.0,23.0,6.0,6.0,9.0,9.0,17.0,18.0,577.0,578.0,818.1337698,931.147486
2020-08-10,22.0,24.0,192.0,222.0,21.0,22.0,0.0,0.0,2.0,2.0,14.0,14.0,4.0,4.0,2.0,2.0,9.0,9.0,75.0,82.0,8.0,15.0,27.0,27.0,3.0,3.0,7.0,8.0,8.0,8.0,9.0,9.0,16.0,16.0,1.0,1.0,33.0,39.0,131.0,179.0,38.0,38.0,3.0,7.0,0.0,0.0,2.0,2.0,3.0,7.0,630.0,632.0,803.1472742000003,800.3118825
2020-08-11,23.0,29.0,120.0,142.0,10.0,14.0,2.0,2.0,46.0,46.0,15.0,15.0,9.0,9.0,4.0,4.0,4.0,4.0,61.0,63.0,29.0,35.0,41.0,41.0,9.0,9.0,0.0,7.0,22.0,22.0,3.0,3.0,7.0,8.0,7.0,7.0,44.0,51.0,162.0,196.0,69.0,69.0,29.0,29.0,26.0,26.0,18.0,18.0,19.0,24.0,779.0,807.0,828.755498,786.3969021
2020-08-12,21.0,27.0,112.0,116.0,17.0,19.0,2.0,2.0,10.0,12.0,11.0,11.0,7.0,8.0,10.0,14.0,10.0,10.0,60.0,62.0,12.0,16.0,30.0,30.0,7.0,8.0,7.0,7.0,18.0,19.0,9.0,9.0,8.0,8.0,7.0,7.0,45.0,48.0,187.0,216.0,29.0,29.0,9.0,11.0,6.0,6.0,3.0,3.0,17.0,19.0,654.0,658.0,824.0320707999997,763.5309606000003
2020-08-13,14.0,24.0,74.0,81.0,10.0,11.0,3.0,3.0,9.0,9.0,10.0,10.0,8.0,8.0,13.0,13.0,11.0,11.0,82.0,85.0,19.0,20.0,41.0,42.0,7.0,8.0,10.0,11.0,16.0,16.0,10.0,10.0,11.0,11.0,9.0,9.0,54.0,55.0,111.0,127.0,28.0,28.0,9.0,9.0,4.0,4.0,7.0,7.0,7.0,11.0,577.0,579.0,700.6059557,597.7528014
2020-08-14,10.0,23.0,138.0,138.0,19.0,24.0,1.0,1.0,17.0,18.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,90.0,90.0,30.0,32.0,26.0,28.0,7.0,7.0,5.0,5.0,30.0,30.0,7.0,7.0,8.0,9.0,11.0,11.0,37.0,41.0,102.0,119.0,21.0,21.0,9.0,10.0,3.0,3.0,10.0,10.0,11.0,12.0,636.0,639.0,639.2463782000002,553.6216373
2020-08-15,14.0,24.0,141.0,141.0,21.0,21.0,2.0,2.0,7.0,7.0,5.0,5.0,5.0,5.0,11.0,13.0,8.0,8.0,68.0,69.0,24.0,24.0,29.0,29.0,11.0,11.0,1.0,1.0,23.0,24.0,24.0,24.0,7.0,7.0,6.0,7.0,29.0,30.0,160.0,172.0,26.0,26.0,7.0,8.0,5.0,6.0,12.0,12.0,9.0,12.0,655.0,657.0,692.4065287999997,633.0384191
2020-08-16,9.0,11.0,105.0,123.0,23.0,26.0,1.0,1.0,10.0,10.0,6.0,6.0,7.0,7.0,4.0,5.0,9.0,9.0,38.0,49.0,25.0,28.0,22.0,22.0,6.0,6.0,0.0,5.0,11.0,12.0,12.0,12.0,13.0,13.0,11.0,11.0,36.0,48.0,100.0,109.0,29.0,29.0,5.0,5.0,5.0,5.0,9.0,9.0,11.0,18.0,507.0,510.0,641.9565754,608.5079792
2020-08-17,12.0,14.0,107.0,107.0,16.0,16.0,3.0,3.0,13.0,13.0,11.0,12.0,8.0,8.0,5.0,5.0,10.0,10.0,72.0,72.0,27.0,29.0,10.0,14.0,6.0,6.0,7.0,7.0,22.0,22.0,4.0,5.0,6.0,8.0,2.0,2.0,31.0,43.0,65.0,112.0,17.0,17.0,19.0,19.0,2.0,3.0,2.0,3.0,5.0,9.0,482.0,486.0,598.7515043999998,581.0830525
2020-08-18,9.0,19.0,131.0,132.0,18.0,22.0,1.0,1.0,7.0,8.0,13.0,13.0,7.0,7.0,8.0,8.0,8.0,9.0,61.0,63.0,34.0,41.0,13.0,20.0,2.0,2.0,9.0,18.0,9.0,15.0,9.0,9.0,6.0,7.0,6.0,6.0,22.0,28.0,79.0,106.0,16.0,16.0,7.0,8.0,3.0,3.0,2.0,2.0,9.0,12.0,489.0,498.0,590.0903390999998,534.0316257000002
2020-08-19,14.0,18.0,104.0,114.0,16.0,26.0,2.0,2.0,14.0,15.0,8.0,8.0,15.0,15.0,15.0,15.0,5.0,5.0,58.0,60.0,25.0,30.0,29.0,32.0,9.0,9.0,0.0,9.0,25.0,25.0,9.0,9.0,3.0,5.0,7.0,7.0,45.0,50.0,87.0,113.0,24.0,24.0,10.0,10.0,9.0,9.0,4.0,4.0,15.0,16.0,552.0,557.0,528.4823418000002,477.3585772
2020-08-20,13.0,22.0,119.0,126.0,12.0,19.0,3.0,3.0,13.0,13.0,4.0,5.0,4.0,4.0,16.0,19.0,9.0,10.0,56.0,65.0,20.0,23.0,14.0,14.0,10.0,10.0,5.0,10.0,10.0,10.0,14.0,14.0,6.0,7.0,14.0,15.0,33.0,41.0,97.0,146.0,18.0,18.0,7.0,8.0,7.0,8.0,9.0,9.0,16.0,23.0,529.0,552.0,517.842446,477.49581060000014
2020-08-21,14.0,22.0,96.0,122.0,24.0,31.0,3.0,3.0,14.0,14.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,7.0,49.0,52.0,42.0,42.0,25.0,25.0,13.0,13.0,9.0,10.0,18.0,19.0,8.0,8.0,13.0,13.0,15.0,15.0,35.0,41.0,73.0,102.0,15.0,15.0,6.0,8.0,7.0,7.0,15.0,15.0,16.0,18.0,535.0,541.0,575.283,541.7968473
2020-08-22,9.0,16.0,54.0,61.0,12.0,16.0,3.0,3.0,16.0,16.0,6.0,7.0,10.0,10.0,3.0,3.0,9.0,9.0,82.0,88.0,33.0,33.0,21.0,23.0,5.0,5.0,3.0,8.0,18.0,18.0,18.0,18.0,10.0,12.0,12.0,12.0,48.0,50.0,80.0,125.0,19.0,19.0,7.0,8.0,15.0,15.0,5.0,5.0,10.0,14.0,508.0,548.0,517.6676347,472.68764139999996
2020-08-23,7.0,17.0,85.0,120.0,23.0,24.0,3.0,3.0,11.0,11.0,7.0,7.0,10.0,10.0,2.0,2.0,6.0,6.0,38.0,56.0,24.0,27.0,17.0,17.0,5.0,5.0,5.0,6.0,10.0,10.0,16.0,16.0,16.0,17.0,8.0,8.0,33.0,40.0,65.0,90.0,22.0,22.0,6.0,11.0,9.0,9.0,13.0,13.0,16.0,26.0,457.0,479.0,502.1121172,482.3710205
2020-08-24,7.0,19.0,129.0,157.0,29.0,29.0,0.0,0.0,6.0,7.0,4.0,4.0,13.0,13.0,9.0,9.0,3.0,3.0,80.0,81.0,32.0,34.0,22.0,22.0,0.0,0.0,5.0,5.0,15.0,15.0,6.0,6.0,25.0,25.0,7.0,7.0,31.0,50.0,78.0,97.0,26.0,26.0,14.0,15.0,5.0,5.0,13.0,13.0,15.0,17.0,574.0,591.0,481.91663960000005,424.3049426
2020-08-25,5.0,9.0,98.0,112.0,11.0,21.0,3.0,3.0,12.0,12.0,4.0,5.0,20.0,21.0,15.0,15.0,5.0,6.0,35.0,46.0,30.0,34.0,12.0,13.0,9.0,9.0,2.0,2.0,18.0,18.0,13.0,13.0,5.0,8.0,3.0,3.0,23.0,30.0,46.0,97.0,16.0,17.0,3.0,4.0,2.0,2.0,12.0,12.0,13.0,21.0,415.0,454.0,432.69785610000014,385.1100349
2020-08-26,12.0,19.0,86.0,96.0,32.0,32.0,1.0,1.0,8.0,8.0,8.0,8.0,11.0,11.0,12.0,12.0,4.0,4.0,82.0,82.0,42.0,45.0,20.0,25.0,11.0,12.0,11.0,18.0,18.0,18.0,8.0,8.0,14.0,18.0,5.0,7.0,38.0,48.0,93.0,156.0,24.0,24.0,5.0,5.0,1.0,1.0,16.0,16.0,9.0,19.0,571.0,618.0,488.54575530000005,430.8443266
